"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
46063322417,1181;2;1;1;61;;;;;;;;;"10/02/2026 07:44:17";"Vibration feeder heater failure";"HMI_Connection_1"
46063322775,9028;2;0;1;61;;;;;;;;;"10/02/2026 07:44:48";"Vibration feeder heater failure";"HMI_Connection_1"
46063324859,2477;2;1;1;61;;;;;;;;;"10/02/2026 07:47:48";"Vibration feeder heater failure";"HMI_Connection_1"
46063353377,9051;2;0;1;61;;;;;;;;;"10/02/2026 08:28:52";"Vibration feeder heater failure";"HMI_Connection_1"
46063355461,2616;2;1;1;61;;;;;;;;;"10/02/2026 08:31:52";"Vibration feeder heater failure";"HMI_Connection_1"
46063356433,4722;2;0;1;61;;;;;;;;;"10/02/2026 08:33:16";"Vibration feeder heater failure";"HMI_Connection_1"
46063357995,9954;2;1;1;63;;;;;;;;;"10/02/2026 08:35:31";"Low water pressure in the network - alarm";"HMI_Connection_1"
46063358516,8403;2;1;1;61;;;;;;;;;"10/02/2026 08:36:16";"Vibration feeder heater failure";"HMI_Connection_1"
46063366977,5116;2;0;1;61;;;;;;;;;"10/02/2026 08:48:27";"Vibration feeder heater failure";"HMI_Connection_1"
46063366977,5116;2;0;1;63;;;;;;;;;"10/02/2026 08:48:27";"Low water pressure in the network - alarm";"HMI_Connection_1"
46063367625,6829;2;1;1;63;;;;;;;;;"10/02/2026 08:49:23";"Low water pressure in the network - alarm";"HMI_Connection_1"
46063367695,1157;2;0;1;63;;;;;;;;;"10/02/2026 08:49:29";"Low water pressure in the network - alarm";"HMI_Connection_1"
46063369060,8796;2;1;1;61;;;;;;;;;"10/02/2026 08:51:27";"Vibration feeder heater failure";"HMI_Connection_1"
46063370634,9421;2;0;1;61;;;;;;;;;"10/02/2026 08:53:43";"Vibration feeder heater failure";"HMI_Connection_1"
46063382475,2894;2;1;1;63;;;;;;;;;"10/02/2026 09:10:46";"Low water pressure in the network - alarm";"HMI_Connection_1"
46063382486,8519;2;0;1;63;;;;;;;;;"10/02/2026 09:10:47";"Low water pressure in the network - alarm";"HMI_Connection_1"
46063386179,0046;2;1;1;63;;;;;;;;;"10/02/2026 09:16:06";"Low water pressure in the network - alarm";"HMI_Connection_1"
46063387591,0301;2;0;1;63;;;;;;;;;"10/02/2026 09:18:08";"Low water pressure in the network - alarm";"HMI_Connection_1"
46063387695,2199;2;1;1;63;;;;;;;;;"10/02/2026 09:18:17";"Low water pressure in the network - alarm";"HMI_Connection_1"
46063388841,0532;2;0;1;63;;;;;;;;;"10/02/2026 09:19:56";"Low water pressure in the network - alarm";"HMI_Connection_1"
46063389338,75;2;1;1;63;;;;;;;;;"10/02/2026 09:20:39";"Low water pressure in the network - alarm";"HMI_Connection_1"
46063389385,0347;2;0;1;63;;;;;;;;;"10/02/2026 09:20:43";"Low water pressure in the network - alarm";"HMI_Connection_1"
46063402880,4861;2;1;1;63;;;;;;;;;"10/02/2026 09:40:09";"Low water pressure in the network - alarm";"HMI_Connection_1"
46063403077,2454;2;0;1;63;;;;;;;;;"10/02/2026 09:40:26";"Low water pressure in the network - alarm";"HMI_Connection_1"
46063436827,419;2;1;1;63;;;;;;;;;"10/02/2026 10:29:02";"Low water pressure in the network - alarm";"HMI_Connection_1"
46063448714,0278;2;0;1;63;;;;;;;;;"10/02/2026 10:46:09";"Low water pressure in the network - alarm";"HMI_Connection_1"
46063463332,1644;2;1;1;63;;;;;;;;;"10/02/2026 11:07:12";"Low water pressure in the network - alarm";"HMI_Connection_1"
46063463552,0833;2;0;1;63;;;;;;;;;"10/02/2026 11:07:31";"Low water pressure in the network - alarm";"HMI_Connection_1"
46063465230,3125;2;1;1;63;;;;;;;;;"10/02/2026 11:09:56";"Low water pressure in the network - alarm";"HMI_Connection_1"
46063465392,3611;2;0;1;63;;;;;;;;;"10/02/2026 11:10:10";"Low water pressure in the network - alarm";"HMI_Connection_1"
46063471028,9583;2;1;1;63;;;;;;;;;"10/02/2026 11:18:17";"Low water pressure in the network - alarm";"HMI_Connection_1"
46063471318,3102;2;0;1;63;;;;;;;;;"10/02/2026 11:18:42";"Low water pressure in the network - alarm";"HMI_Connection_1"
46063474917,8819;2;1;1;63;;;;;;;;;"10/02/2026 11:23:53";"Low water pressure in the network - alarm";"HMI_Connection_1"
46063475045,1736;2;0;1;63;;;;;;;;;"10/02/2026 11:24:04";"Low water pressure in the network - alarm";"HMI_Connection_1"
46063477626,2153;2;1;1;63;;;;;;;;;"10/02/2026 11:27:47";"Low water pressure in the network - alarm";"HMI_Connection_1"
46063478552,1412;2;0;1;63;;;;;;;;;"10/02/2026 11:29:07";"Low water pressure in the network - alarm";"HMI_Connection_1"
46063478876,2153;2;1;1;63;;;;;;;;;"10/02/2026 11:29:35";"Low water pressure in the network - alarm";"HMI_Connection_1"
46063479316,0417;2;0;1;63;;;;;;;;;"10/02/2026 11:30:13";"Low water pressure in the network - alarm";"HMI_Connection_1"
46063479605,3819;2;1;1;63;;;;;;;;;"10/02/2026 11:30:38";"Low water pressure in the network - alarm";"HMI_Connection_1"
46063480033,6227;2;0;1;63;;;;;;;;;"10/02/2026 11:31:15";"Low water pressure in the network - alarm";"HMI_Connection_1"
